Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
BF,1,4627,3874,21,1609,1332,841,14,8039,3540,21,21,21,78,-,2.3431ns,-,-,-,-,45,-,-
BF,1,4628,3973,22,1492,1320,1054,14,8513,3737,22,22,22,93,-,2.0401ns,-,-,-,-,46,-,-
BF,1,4629,4027,24,1492,1362,1059,14,8625,3762,24,24,24,100,-,2.0201ns,-,-,-,-,63,-,-
BF,1,4630,3704,20,1492,1266,858,14,7672,3441,20,20,20,74,-,2.3431ns,-,-,-,-,44,-,-
BF,1,4631,3773,22,1492,1314,874,14,7858,3478,22,22,22,79,-,2.3431ns,-,-,-,-,46,-,-
BF,1,4632,3845,22,1496,1248,996,14,8324,3642,22,22,22,91,-,2.0401ns,-,-,-,-,46,-,-
BF,1,4633,3845,22,1496,1248,996,14,8324,3642,22,22,22,91,-,2.0401ns,-,-,-,-,46,-,-
BF,1,4634,3774,20,1605,1248,835,14,7855,3498,20,20,20,72,-,2.3031ns,-,-,-,-,44,-,-
BF,1,4635,3774,20,1605,1248,835,14,7855,3498,20,20,20,72,-,2.3031ns,-,-,-,-,44,-,-
BF,1,4636,3772,23,1387,1242,1031,14,8291,3632,23,23,23,98,-,3.2936ns,-,-,-,-,47,-,-
BF,1,4637,3772,23,1387,1242,1031,14,8291,3632,23,23,23,98,-,3.2936ns,-,-,-,-,47,-,-
BF,1,4638,3682,21,1488,1242,862,14,7679,3447,21,21,21,76,-,2.2481ns,-,-,-,-,45,-,-
BF,1,4639,3682,21,1488,1242,862,14,7679,3447,21,21,21,76,-,2.2481ns,-,-,-,-,45,-,-
BF,1,4640,4433,21,1520,1362,1342,5,10879,4337,21,21,21,204,-,2.0001ns,-,-,-,-,42,-,-
BF,1,4641,4497,23,1520,1410,1353,5,10988,4359,23,23,23,209,-,2.0201ns,-,-,-,-,58,-,-
BF,1,4642,3722,19,1490,1290,838,5,7908,3496,19,19,19,99,-,2.1507ns,-,-,-,-,40,-,-
BF,1,4643,3787,21,1490,1332,855,5,8095,3530,21,21,21,105,-,2.1107ns,-,-,-,-,42,-,-
BF,1,4644,4393,22,1482,1314,1386,5,10899,4366,22,22,22,206,-,2.0401ns,-,-,-,-,43,-,-
BF,1,4645,4456,24,1482,1362,1394,5,11028,4400,24,24,24,213,-,2.0201ns,-,-,-,-,60,-,-
BF,1,4646,3735,20,1482,1266,883,5,8006,3552,20,20,20,99,-,2.0707ns,-,-,-,-,41,-,-
BF,1,4647,3795,22,1482,1308,895,5,8179,3581,22,22,22,105,-,2.0707ns,-,-,-,-,43,-,-
BF,1,4648,4240,22,1486,1260,1285,5,10588,4232,22,22,22,204,-,2.0401ns,-,-,-,-,43,-,-
BF,1,4649,4388,22,1584,1242,1328,5,11037,4376,22,22,22,229,-,2.5337ns,-,-,-,-,47,-,-
BF,1,4650,3793,20,1595,1242,853,5,8164,3596,20,20,20,98,-,2.1107ns,-,-,-,-,41,-,-
BF,1,4651,3793,20,1595,1242,853,5,8164,3596,20,20,20,98,-,2.1107ns,-,-,-,-,41,-,-
BF,1,4652,5260,23,1685,1848,1491,5,12271,4921,23,23,23,231,-,2.0001ns,-,-,-,-,38,-,-
BF,1,4653,4392,23,1584,1242,1330,5,11069,4395,23,23,23,231,-,2.5337ns,-,-,-,-,47,-,-
BF,1,4654,3711,21,1478,1242,884,5,8009,3556,21,21,21,102,-,2.0707ns,-,-,-,-,42,-,-
BF,1,4655,3711,21,1478,1242,884,5,8009,3556,21,21,21,102,-,2.0707ns,-,-,-,-,42,-,-
BF,1,4656,3873,24,1588,1290,890,16,8214,3572,24,24,24,89,-,2.3374ns,-,-,-,-,53,-,-
BF,1,4657,3933,26,1588,1332,903,16,8348,3640,26,26,26,94,-,2.3374ns,-,-,-,-,57,-,-
BF,1,4658,3873,24,1588,1290,890,16,8214,3572,24,24,24,89,-,2.3374ns,-,-,-,-,53,-,-
BF,1,4659,3933,26,1588,1332,903,16,8348,3640,26,26,26,94,-,2.3374ns,-,-,-,-,57,-,-
BF,1,4660,3765,25,1480,1266,914,16,7955,3537,25,25,25,89,-,2.3374ns,-,-,-,-,55,-,-
BF,1,4661,3829,27,1480,1308,929,16,8152,3574,27,27,27,96,-,2.3374ns,-,-,-,-,59,-,-
