Method,Iteration,ATTR,AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,cp_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP
BF,1,237,1734,4,596,804,285,0,2878,1334,5,5,5,49,-,2.7448ns,-,-,-,-,15,-,-
BF,1,238,1963,5,605,804,470,0,3758,1642,5,5,5,84,-,2.7448ns,-,-,-,-,24,-,-
BF,1,239,1708,5,596,792,288,0,2852,1322,5,5,5,32,-,2.7448ns,-,-,-,-,24,-,-
BF,1,240,1948,13,596,942,359,15,3346,1544,13,13,13,36,-,3.0148ns,-,-,-,-,36,-,-
BF,1,241,1948,13,596,942,359,15,3346,1544,13,13,13,36,-,3.0148ns,-,-,-,-,36,-,-
BF,1,242,3104,15,1697,990,361,15,5302,2497,15,15,15,41,-,3.6498ns,-,-,-,-,30,-,-
BF,1,243,3104,15,1697,990,361,15,5302,2497,15,15,15,41,-,3.6498ns,-,-,-,-,30,-,-
BF,1,244,5916,19,4481,1038,333,15,10086,4821,19,19,19,49,-,3.2109ns,-,-,-,-,26,-,-
BF,1,245,5797,19,4181,1056,494,15,9980,4641,19,19,19,51,-,3.2909ns,-,-,-,-,26,-,-
BF,1,246,1779,13,596,816,301,15,3086,1436,14,14,14,51,-,2.9848ns,-,-,-,-,29,-,-
BF,1,247,1779,13,596,816,301,15,3086,1436,14,14,14,51,-,2.9848ns,-,-,-,-,29,-,-
BF,1,248,1755,14,596,804,303,15,3052,1420,14,14,14,37,-,2.9648ns,-,-,-,-,38,-,-
BF,1,249,1755,14,596,804,303,15,3052,1420,14,14,14,37,-,2.9648ns,-,-,-,-,38,-,-
BF,1,250,2021,13,588,990,389,14,3468,1602,13,13,13,40,-,3.1161ns,-,-,-,-,32,-,-
BF,1,251,2001,13,588,990,371,14,3409,1577,13,13,13,38,-,2.9555ns,-,-,-,-,32,-,-
BF,1,252,3178,15,1689,1038,391,14,5448,2588,15,15,15,46,-,3.7111ns,-,-,-,-,26,-,-
BF,1,253,3136,15,1711,1014,355,14,5355,2559,15,15,15,42,-,3.6415ns,-,-,-,-,26,-,-
BF,1,254,5969,19,4473,1086,346,14,10153,4854,19,19,19,50,-,3.2109ns,-,-,-,-,22,-,-
BF,1,256,1852,13,588,864,331,14,3210,1494,14,14,14,55,-,3.1261ns,-,-,-,-,25,-,-
BF,1,257,1826,13,588,858,313,14,3147,1467,14,14,14,53,-,2.9555ns,-,-,-,-,25,-,-
BF,1,258,1828,14,588,852,333,14,3177,1478,14,14,14,41,-,3.0861ns,-,-,-,-,34,-,-
